,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,names
0,0.407,0.98,7,-1.58,1,0.107,0.00174,0.000112,0.119,0.537,131.066,254467,4,Custer
1,0.612,0.889,11,-5.449,0,0.0446,0.0366,0.8,0.0882,0.7,95.105,270946,3,Thin Thing
2,0.388,0.345,0,-11.185,0,0.0306,0.865,0.773,0.102,0.145,87.45,256973,4,Speech Bubbles
3,0.243,0.97,5,-2.518,0,0.0877,2.6e-06,0.0404,0.284,0.243,102.725,237840,4,The Heaviest Matter of the Universe
4,0.294,0.707,2,-5.418,1,0.0389,0.0408,0.106,0.0705,0.0395,149.94,189679,4,Legend
5,0.39,0.568,4,-8.439,0,0.0288,0.147,0.945,0.162,0.0371,145.065,176280,4,Glimmer of hope
6,0.372,0.697,2,-7.278,1,0.0348,5.65e-05,0.888,0.125,0.278,139.51,433813,4,Bottom
7,0.301,0.271,2,-17.023,0,0.036,0.975,0.787,0.178,0.0397,128.944,168013,1,"Preludes, Op. 28: No. 24, Allegro appassionato"
8,0.506,0.877,0,-5.73,1,0.032,5.16e-05,0.776,0.0712,0.302,114.589,426680,5,Vicarious
9,0.442,0.974,8,-4.327,1,0.348,0.0567,1.45e-06,0.12,0.283,174.003,176791,4,The Time Is Now (John Cena)
10,0.349,0.371,0,-8.274,1,0.0361,0.84,0.0,0.24,0.32,92.028,255907,4,Dream A Little Dream Of Me
11,0.297,0.952,9,-3.674,0,0.0913,0.000683,0.00643,0.239,0.0721,137.676,385818,4,Critical Darling
12,0.7,0.742,5,-6.777,0,0.0716,0.0722,0.0199,0.11,0.197,91.959,302000,4,Dark Necessities
13,0.124,0.106,0,-22.245,0,0.0394,0.972,0.919,0.0802,0.0456,78.658,599653,4,"Piano Concerto No. 2 in C Minor, Op. 18: I. Moderato"
14,0.242,0.992,4,-3.9,0,0.0988,0.0148,0.113,0.833,0.374,159.37,187120,4,Go With The Flow
15,0.32,0.91,9,-5.321,1,0.114,0.000997,0.0,0.16,0.22,165.943,214373,4,Breathe Into Me
16,0.467,0.865,5,-4.158,0,0.0351,0.000127,0.000339,0.088,0.328,91.447,218467,4,Breath
17,0.32,0.62,7,-14.598,0,0.0409,0.491,0.86,0.094,0.268,82.485,149533,3,Gbraakon Escape
18,0.619,0.555,1,-14.968,0,0.0724,0.0776,0.878,0.3,0.0599,179.959,126307,3,The Road
19,0.0641,0.066,11,-23.404,0,0.0376,0.904,0.447,0.104,0.038,55.325,177680,4,What Makes Us Human
20,0.386,0.977,9,-2.823,0,0.0439,2.12e-05,0.241,0.114,0.348,108.461,251698,4,Red Flag
21,0.537,0.643,9,-7.018,0,0.0272,0.0762,0.0474,0.135,0.324,104.97,385173,4,Safe or Not - Extended Mix
22,0.271,0.719,11,-10.739,0,0.0553,0.000469,0.386,0.24,0.275,141.537,282067,4,Blow Out
23,0.681,0.699,9,-7.307,1,0.0329,0.296,0.0301,0.117,0.601,122.254,279760,4,Modern Man
24,0.502,0.941,7,-5.194,1,0.0716,0.000346,0.319,0.553,0.124,119.783,219987,4,Maps
25,0.536,0.448,10,-17.318,0,0.0329,0.531,0.81,0.11,0.367,88.982,169480,4,Sequence
26,0.506,0.882,9,-8.683,1,0.0737,0.000655,0.795,0.174,0.14,107.994,257735,4,Rip & Tear
27,0.404,0.72,10,-9.18,0,0.0623,5.59e-05,0.836,0.0466,0.475,121.864,258467,4,Bullet With Butterfly Wings - Remastered 2012
28,0.288,0.993,2,-2.499,1,0.0744,1.6e-05,0.00137,0.193,0.102,90.314,258267,4,Backbone
29,0.271,0.982,2,-2.863,1,0.127,1.54e-05,0.000906,0.923,0.0399,115.962,348013,4,From The Sky
30,0.269,0.922,3,-3.764,1,0.0813,0.000295,0.0348,0.18,0.211,95.19,464453,4,Flying Whales
31,0.319,0.914,4,-2.951,0,0.112,1.3e-05,0.0165,0.157,0.168,111.86,332760,3,Ocean Planet
32,0.16,0.572,5,-6.949,1,0.0321,0.00367,0.745,0.0952,0.0932,96.926,3816373,4,Dopesmoker
33,0.278,0.126,0,-17.751,1,0.0335,0.0868,0.00381,0.0903,0.129,137.254,238160,3,Song for a Warrior
34,0.365,0.443,7,-10.11,1,0.0235,0.0472,1.44e-06,0.344,0.149,93.953,271533,4,Ode To My Family
35,0.435,0.657,5,-8.868,1,0.0545,0.00983,0.00748,0.0923,0.209,118.704,467640,4,Foreplay / Long Time
36,0.539,0.828,4,-9.108,0,0.035,0.00067,0.421,0.154,0.562,105.25,515387,4,Master of Puppets (Remastered)
37,0.61,0.891,4,-5.452,0,0.0587,0.000805,0.0928,0.0657,0.51,139.903,246733,4,Symphony Of Destruction
38,0.519,0.982,7,-3.547,1,0.108,0.00203,0.00055,0.0971,0.361,97.745,319267,4,Tornado Of Souls - Remastered 2004
39,0.357,0.304,7,-16.096,1,0.0475,0.803,0.841,0.126,0.16,75.533,398405,4,Mandate of Heaven
40,0.555,0.217,10,-14.902,0,0.0338,0.938,0.0516,0.0734,0.283,127.953,283272,4,Astrea Fled
41,0.23,0.264,7,-17.152,0,0.0496,0.721,0.00107,0.11,0.0399,70.66,314178,5,Deus Ora Movet
42,0.512,0.714,4,-12.394,0,0.0352,0.00126,0.92,0.122,0.157,122.008,201213,4,Rising Tide
43,0.55,0.952,8,-4.664,1,0.0924,0.000193,0.000666,0.0614,0.391,127.804,207213,4,Remedy
44,0.48,0.923,11,-8.793,0,0.0682,0.000211,0.531,0.106,0.44,96.535,312360,4,Battery (Remastered)
45,0.538,0.679,4,-4.297,1,0.0333,0.191,0.00175,0.0889,0.0888,121.99,222093,4,Selfless
46,0.0837,0.369,9,-13.183,0,0.0382,0.539,0.951,0.112,0.0314,83.28,349253,4,Praying
47,0.591,0.767,5,-4.673,1,0.0633,0.396,0.586,0.265,0.869,107.577,115289,4,Whiplash
48,0.402,0.969,8,-2.825,1,0.181,9.14e-05,0.0325,0.225,0.262,173.847,245227,4,Stricken
49,0.739,0.199,5,-11.763,1,0.028,0.877,1.23e-05,0.0591,0.631,88.466,186160,4,Don't Know Why
