danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,banger
0.407,0.98,7,-1.58,0.107,0.00174,0.000112,0.119,0.537,131.066,4,1
0.612,0.889,11,-5.449,0.0446,0.0366,0.8,0.0882,0.7,95.105,3,0
0.388,0.345,0,-11.185,0.0306,0.865,0.773,0.102,0.145,87.45,4,0
0.243,0.97,5,-2.518,0.0877,2.60E-06,0.0404,0.284,0.243,102.725,4,0
0.294,0.707,2,-5.418,0.0389,0.0408,0.106,0.0705,0.0395,149.94,4,1
0.39,0.568,4,-8.439,0.0288,0.147,0.945,0.162,0.0371,145.065,4,1
0.372,0.697,2,-7.278,0.0348,5.65E-05,0.888,0.125,0.278,139.51,4,1
0.301,0.271,2,-17.023,0.036,0.975,0.787,0.178,0.0397,128.944,1,0
0.506,0.877,0,-5.73,0.032,5.16E-05,0.776,0.0712,0.302,114.589,5,1
0.442,0.974,8,-4.327,0.348,0.0567,1.45E-06,0.12,0.283,174.003,4,1
0.349,0.371,0,-8.274,0.0361,0.84,0,0.24,0.32,92.028,4,0
0.297,0.952,9,-3.674,0.0913,0.000683,0.00643,0.239,0.0721,137.676,4,1
0.7,0.742,5,-6.777,0.0716,0.0722,0.0199,0.11,0.197,91.959,4,1
0.124,0.106,0,-22.245,0.0394,0.972,0.919,0.0802,0.0456,78.658,4,0
0.242,0.992,4,-3.9,0.0988,0.0148,0.113,0.833,0.374,159.37,4,1
0.32,0.91,9,-5.321,0.114,0.000997,0,0.16,0.22,165.943,4,1
0.467,0.865,5,-4.158,0.0351,0.000127,0.000339,0.088,0.328,91.447,4,1
0.32,0.62,7,-14.598,0.0409,0.491,0.86,0.094,0.268,82.485,3,0
0.619,0.555,1,-14.968,0.0724,0.0776,0.878,0.3,0.0599,179.959,3,0
0.0641,0.066,11,-23.404,0.0376,0.904,0.447,0.104,0.038,55.325,4,0
0.386,0.977,9,-2.823,0.0439,2.12E-05,0.241,0.114,0.348,108.461,4,1
0.537,0.643,9,-7.018,0.0272,0.0762,0.0474,0.135,0.324,104.97,4,0
0.271,0.719,11,-10.739,0.0553,0.000469,0.386,0.24,0.275,141.537,4,0
0.681,0.699,9,-7.307,0.0329,0.296,0.0301,0.117,0.601,122.254,4,0
0.502,0.941,7,-5.194,0.0716,0.000346,0.319,0.553,0.124,119.783,4,0
0.536,0.448,10,-17.318,0.0329,0.531,0.81,0.11,0.367,88.982,4,0
0.506,0.882,9,-8.683,0.0737,0.000655,0.795,0.174,0.14,107.994,4,1
0.404,0.72,10,-9.18,0.0623,5.59E-05,0.836,0.0466,0.475,121.864,4,0
0.288,0.993,2,-2.499,0.0744,1.60E-05,0.00137,0.193,0.102,90.314,4,0
0.271,0.982,2,-2.863,0.127,1.54E-05,0.000906,0.923,0.0399,115.962,4,0
0.269,0.922,3,-3.764,0.0813,0.000295,0.0348,0.18,0.211,95.19,4,0
0.319,0.914,4,-2.951,0.112,1.30E-05,0.0165,0.157,0.168,111.86,3,0
0.16,0.572,5,-6.949,0.0321,0.00367,0.745,0.0952,0.0932,96.926,4,0
0.278,0.126,0,-17.751,0.0335,0.0868,0.00381,0.0903,0.129,137.254,3,0
0.365,0.443,7,-10.11,0.0235,0.0472,1.44E-06,0.344,0.149,93.953,4,0
0.435,0.657,5,-8.868,0.0545,0.00983,0.00748,0.0923,0.209,118.704,4,1
0.539,0.828,4,-9.108,0.035,0.00067,0.421,0.154,0.562,105.25,4,1
0.61,0.891,4,-5.452,0.0587,0.000805,0.0928,0.0657,0.51,139.903,4,1
0.519,0.982,7,-3.547,0.108,0.00203,0.00055,0.0971,0.361,97.745,4,1
0.357,0.304,7,-16.096,0.0475,0.803,0.841,0.126,0.16,75.533,4,0
0.555,0.217,10,-14.902,0.0338,0.938,0.0516,0.0734,0.283,127.953,4,0
0.23,0.264,7,-17.152,0.0496,0.721,0.00107,0.11,0.0399,70.66,5,0
0.512,0.714,4,-12.394,0.0352,0.00126,0.92,0.122,0.157,122.008,4,1
0.55,0.952,8,-4.664,0.0924,0.000193,0.000666,0.0614,0.391,127.804,4,1
0.48,0.923,11,-8.793,0.0682,0.000211,0.531,0.106,0.44,96.535,4,1
0.538,0.679,4,-4.297,0.0333,0.191,0.00175,0.0889,0.0888,121.99,4,0
0.0837,0.369,9,-13.183,0.0382,0.539,0.951,0.112,0.0314,83.28,4,0
0.591,0.767,5,-4.673,0.0633,0.396,0.586,0.265,0.869,107.577,4,0
0.402,0.969,8,-2.825,0.181,9.14E-05,0.0325,0.225,0.262,173.847,4,1
0.739,0.199,5,-11.763,0.028,0.877,1.23E-05,0.0591,0.631,88.466,4,0
